"SKPD","BLUD RUMAH SAKIT UMUM DAERAHANY"
"SUB SKPD","RSUD Apotek InapANY"
"Jenis Barang","Bahan Obat-Obatan,Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis PakaiANY"

"Provinsi","Kabupaten","SKPD","Nama Sub Skpd","Jenis Barang","No","Kode Barang","Nama Barang","Satuan","Total Saldo Barang","Total Harga",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","141.","489","Magnesium Sulfat 40%","Ampul","49","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","142.","2734","Manitol inf","Botol","33","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","143.","2735","Martos infus","Botol","24","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","144.","2736","Maxstan 500mg kap","kaplet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","145.","574","Mecobalamin 500 µg / Lapibal","Tablet","600","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","146.","533","Meloxicam 15 mg","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","147.","526","Meloxicam 7,5 mg","Tablet","350","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","148.","610","Metformin 500 mg","Tablet","300","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","149.","648","Metilergometrin Maleat inj 0,2 mg -1 ml","Ampul","135","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","150.","627","Metilergometrin Maleat tab salut 0,125 mg","Tablet","90","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","151.","662","Metilprednisolon 4 mg","Tablet","600","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","152.","683","Metoklopramid inj 5 mg/ml (Vertivom inj / Primperan inj )","Ampul","180","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","153.","724","Metronidazol 500 mg","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","154.","3942","Metronidazole infus 2","Botol","163","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","155.","2751","Meylon 8,4 % inj","Ampul","47","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","156.","770","Mikonazol Salep 2%","Tube","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","157.","2795","Mometasone furoate salep","Tube","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","158.","2797","Mucos drop","Botol","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","159.","3959","Natacen 50 mg/0,6 ml","strip","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","160.","552","Natrium Bikarbonat 500 mg","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","161.","2801","Nebacetin powder 5 g","Vial","13","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","162.","2802","Neo gynoxa supp","Suppo","25","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","163.","3806","Neurobat F Inj","Ampul","184","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","164.","2805","Neurodex tab 2","Tablet","900","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","165.","3896","Nicardipine HCL 10 MG INJ","Ampul","32","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","166.","652","Nifedipin 10 mg","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","167.","686","Nistatin Suspensi 100.000 UI/Kandistatin Suspensi drops/Nystin drops","Botol","37","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","168.","3833","Novorapid Flexpen 2","pcs","34","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","169.","812","Ofloxacin 400 mg","Tablet","50","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","170.","885","Oksitosin inj 10 UI/ml-1 ml","Ampul","134","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","171.","890","Omeprazol 20mg","Kapsul","2520","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","172.","2814","Ondansetron 4mg inj","Ampul","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","173.","3863","Ondansetron Tab 4 mg","Tablet","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","174.","3967","Otopain ear drop","Botol","10","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","175.","4107","Otsu D 40","pcs","69","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","176.","3145","PARACETAMOL INF 100 ML","Botol","50","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","177.","2845","Pantoprazole inj 40 mg","Ampul","147","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","178.","3866","Paracetamol Tab","Tablet","400","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","179.","922","Parasetamol syrup 120 mg/5 ml","Botol","46","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","180.","509","Pehacain inj","ampul","33","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","181.","2854","Piracetam 3 gr inj","Ampul","224","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","182.","762","Pirasetam 800 mg","Tablet","450","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","183.","680","Pirasetam inj 1 g/5 ml","Ampul","820","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","184.","2856","Polidemisin eye drop 2","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","185.","970","Primaquin 15 mg","Tablet","10","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","186.","11237","Profolat Tab","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","187.","987","Propanolol 10 mg","Tablet","196","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","188.","988","Propanolol 40 mg","Tablet","231","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","189.","992","Propilitiourasi 100 mg","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","190.","2862","Pyrazinamid tab","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","191.","1000","Ranitidin 150 mg","Tablet","1000","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","192.","2762","Ranitidin Injeksi 25 mg /ml","Ampul","710","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","193.","2867","Rifampicin 300mg tab","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","194.","2868","Rifampicin 450mg tab","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","195.","547","Salbutamol 2 mg","Tablet","500","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","196.","566","Salbutamol 4 mg","Tablet","500","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","197.","606","Salbutamol syrup 2 mg/5 ml","Botol","11","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","198.","615","Salep 2-4","Pot","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","199.","3817","Sanbe Hest Inf","pcs","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","200.","12543","Sanmol drop","Botol","35","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","201.","12542","Sanmol syrup","Botol","22","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","202.","663","Sefotaksim inj 1 g","Vial","462","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","203.","673","Seftriakson inj 1 g","Vial","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","204.","847","Serum Anti Tetanus 1500 UI / biosat","Ampul","21","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","205.","2876","Simfix 100mg","Kapsul","30","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","206.","2877","Simfix 200mg","Kapsul","10","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","207.","2878","Simflox tab 500 mg","Tablet","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","208.","2778","Simvastatin 20 mg","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","209.","729","Siprofloksazin 500 mg","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","210.","710","Siprofloksazin infus 200 mg/ml","Botol","48","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","211.","2886","Tiaryt","Tablet","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","212.","3925","Tracetate 200 ml syr","Botol","11","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","213.","13287","Tracetate Tab","pcs","150","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","214.","545","Tramadol inj 50 mg/ml","Ampul","150","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","215.","2891","Tuzalos","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","216.","3933","Utrogestan 200 mg","Kapsul","30","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","217.","2896","Vectrin dry","Botol","24","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","218.","12531","Vectrine 300 mg kaps","Kapsul","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","219.","3769","Velutine 25 mg","Vial","170","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","220.","3957","Vernacel 0,6 ml","strip","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","221.","2897","Vitacur","Botol","57","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","222.","639","Vitamin B kompleks","Tablet","1100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","223.","3878","Vitamin B6 Tab 10 MG","Tablet","500","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","224.","11256","Vitamin C inj","Ampul","47","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","225.","651","Voltadex gel","Tube","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","226.","2898","Vometa drop 5 mg/ml","Botol","4","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","227.","685","Zinc tablet 20 mg","Tablet","400","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","228.","2550","asam ursodeoksikolat kaps","Kapsul","30","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","229.","2494","asam valproat 250 mg/5 ml syr","Botol","8","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","230.","5218","atorvastatin 20 mg","Tablet","270","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","231.","2685","burnazine cream (RSUD)","Tube","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","232.","2637","buscopan 20 mg/ml inj (RSUD)","Ampul","129","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","233.","5220","cendo eyefresh 5 ml (RSUD)","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","234.","7906","cendo floxa","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","235.","2639","cendo hyalub 5 ml (RSUD)","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","236.","9391","cendo pantocain 0,5 % (RSUD)","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","237.","659","cendo pantocain 2 % 5 ml (RSUD)","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","238.","2546","cendo protagenta 0,6 ml minidose (RSUD)","strip","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","239.","2669","cendo tobro 0,6 ml minidose (RSUD)","strip","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","240.","5202","cendo tropin 0,5 % 5 ml (RSUD)","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","241.","3828","cetirizine drop","Botol","16","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","242.","2674","clinimix n9g15e 1l (RSUD)","Softbag","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","243.","4031","concor 2,5 mg tab (RSUD)","Tablet","700","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","244.","3953","endrolin 3,75 mg inj (RSUD)","ampul","1","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","245.","946","ferriz drop (RSUD)","Botol","15","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","246.","12738","fluconazole 150 mg","Kapsul","190","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","247.","2690","furamin inj (RSUD)","Ampul","270","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","248.","3854","l-cisin tab (RSUD)","Tablet","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","249.","3823","laktulosa syr","Botol","21","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","250.","2764","moxifloxacin hcl inf","Botol","24","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","251.","3977","norfion 4 mg/4 ml inj (RSUD)","Ampul","5","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","252.","2498","pamol 125 (RSUD)","Suppo","58","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","253.","2687","pamol 250 (RSUD)","Suppo","10","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","254.","2545","ramipril 2,5 mg tab","Tablet","500","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","255.","2500","ramipril 5 mg tab","Tablet","500","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","256.","8140","spironolaktone 25 mg ( RSUD )","Tablet","700","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","257.","2520","sucralfate 100 ml syr","Botol","50","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","258.","2719","vip albumin kaps (RSUD)","Botol","360","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","259.","11092","vitamin C 250 mg","Tablet","900","0",
,,,,,,,,,,"Total Jenis Barang:0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","260.","2338","Arm Sling L","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","261.","4280","Arm Sling M","pcs","2","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","262.","2339","Arm Sling S","pcs","7","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","263.","12576","Aximed 3 Way","pcs","116","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","264.","12549","Aximed urine drainage bag","pcs","40","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","265.","4347","Bisturi No. 10","pcs","258","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","266.","11691","Bisturi no 15","pcs","94","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","267.","8139","Bisturi no. 23","pcs","293","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","268.","6047","Catgut Chromic 0 HR 37, 75cm","pcs","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","269.","4060","Catgut Chromic 1 HR 37s 75 cm","pcs","29","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","270.","11154","Catgut Chromic 2/0 : HR 37S","pcs","28","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","271.","6100","Catgut Chromic 4/0 HR 20","box","7","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","272.","6396","Cervical Collar Soft uk L","pcs","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","273.","4496","Cuticell Classic 10 cm x 10  cm","pcs","132","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","274.","6497","Disp. Syringe 50 CC Catheter TIP","pcs","35","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","275.","2354","Disposable Blood Transfusion Set (Remedi)","pcs","150","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","276.","3993","Disposable syringe 1 cc","pcs","400","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","277.","4075","Disposible syringe 3 cc","pcs","2162","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai","278.","4182","Disposible syringe 5 cc","pcs","91","0",
